quantidadetotal,produto,ano,mes
1,675,2008,11
7,2634,2008,11
1,4003,2008,11
2,1610,2008,11
2,4711,2008,11
7,3148,2008,11
1,2635,2008,11
1,2463,2008,11
1,1329,2008,11
3,2922,2008,11
8,734,2008,11
13,3936,2008,11
1,2723,2008,11
3,2893,2008,11
1,1648,2008,11
6,4193,2008,11
1,5070,2008,11
3,1888,2008,11
7,4211,2008,11
2,2425,2008,11
194,40,2008,11
46,3835,2008,11
1,4929,2008,11
1,1341,2008,11
2,90,2008,11
2,1857,2008,11
5,1114,2008,11
3,974,2008,11
1,3279,2008,11
2,805,2008,11
1,2958,2008,11
1,3649,2008,11
1,753,2008,11
1,4006,2008,11
2,3992,2008,11
1,1607,2008,11
1,4104,2008,11
3,567,2008,11
12,5167,2008,11
2,4035,2008,11
1,2048,2008,11
1,577,2008,11
25,3645,2008,11
1,1010,2008,11
1,4114,2008,11
1,2440,2008,11
2,3144,2008,11
1,3054,2008,11
1,1726,2008,11
3,3857,2008,11
2,2696,2008,11
1,618,2008,11
2,3510,2008,11
7,697,2008,11
2,1554,2008,11
1,2418,2008,11
1,1638,2008,11
1,4882,2008,11
2,3858,2008,11
3,3155,2008,11
1,1772,2008,11
1,2199,2008,11
2,1139,2008,11
1,1765,2008,11
2,2741,2008,11
1,2252,2008,11
1,1017,2008,11
2,4246,2008,11
13,2052,2008,11
2,1819,2008,11
2,4357,2008,11
2,305,2008,11
3,582,2008,11
1,2886,2008,11
1,273,2008,11
8,1851,2008,11
1,2477,2008,11
2,1541,2008,11
4,4149,2008,11
1,517,2008,11
1,1564,2008,11
1,2220,2008,11
10,1712,2008,11
84,150,2008,11
34,2256,2008,11
1,340,2008,11
1,3046,2008,11
1,2499,2008,11
14,739,2008,11
1,1862,2008,11
2,3280,2008,11
2,5124,2008,11
4,1763,2008,11
1,58,2008,11
1,4923,2008,11
2,1028,2008,11
1,280,2008,11
5,1754,2008,11
1,461,2008,11
1,1751,2008,11
1,2768,2008,11
1,2022,2008,11
1,2497,2008,11
2,662,2008,11
2,3932,2008,11
6,3677,2008,11
1,1117,2008,11
3,3037,2008,11
2,2389,2008,11
2,4192,2008,11
10,3057,2008,11
2,4007,2008,11
1,669,2008,11
1,841,2008,11
95,2269,2008,11
1,4418,2008,11
2,2291,2008,11
7,3255,2008,11
5,382,2008,11
